Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
The Fault in Our Stars,1997 pontiac grand prix,1,pontiac grand prix,pontiac grand prix,25,"$124,872,350",Twentieth Century Fox,2014,0,3,3,25,1
Captain America: The Winter Soldier,2006 pontiac solstice,2,pontiac solstice,pontiac solstice,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,2,2,3,2
Million Dollar Arm,1999 porsche 911 carrera cabrio [996],3,porsche 911,porsche 911,86,"$36,457,627",Walt Disney Studios Motion Pictures,2014,2,5,7,86,3
RoboCop,2003 porsche cayenne [955],2,porsche cayenne,porsche cayenne,56,"$58,607,007",Sony Pictures Entertainment (SPE),2014,0,3,3,56,2
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2010 porsche panamera [970],1,porsche panamera,porsche panamera,47,"$65,641,801",Walt Disney Studios Motion Pictures,2014,0,1,1,47,1
Horrible Bosses 2,2003 saab 9-3,1,saab 9-3,saab 9-3,63,"$51,745,425",Warner Bros.,2014,0,2,2,63,1
Muppets Most Wanted,saab 9-5,1,saab 9-5,saab 9-5,64,"$51,183,113",Walt Disney Studios Motion Pictures,2014,0,2,2,64,1
Captain America: The Winter Soldier,2004 saturn vue,1,saturn vue,saturn vue,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,3,3,3,1
Tammy,2011 scion tc,1,scion tc,scion tc,36,"$84,525,432",Warner Bros.,2014,0,1,1,36,1
Chef,2009 scion xd,1,scion xd,scion xd,91,"$31,424,003",Open Road Films (II),2014,0,1,1,91,1
Lucy,smart fortwo,2,smart fortwo,smart fortwo,23,"$126,663,600",Universal Pictures,2014,0,3,3,23,2
Godzilla,1997 subaru forester,2,subaru forester,subaru forester,11,"$200,676,069",Warner Bros.,2014,0,3,3,11,2
Ouija,subaru impreza,2,subaru impreza,subaru impreza/wrx/wrx sti,65,"$50,856,010",Universal Pictures,2014,0,9,9,65,2
Annie,1995 subaru legacy wagon,3,subaru legacy,subaru legacy,57,"$56,951,920",Sony Pictures Entertainment (SPE),2014,1,4,5,57,3
The Expendables 3,1999 subaru outback,2,subaru outback,subaru outback,81,"$39,322,544",Lionsgate,2014,0,2,2,81,2
Captain America: The Winter Soldier,2013 subaru xv crosstrek,1,subaru xv crosstrek,subaru xv crosstrek/crosstrek,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,1,1,3,1
Nightcrawler,2008 suzuki sx4 sport,1,suzuki sx4,suzuki sx4/aerio,90,"$31,825,147",Open Road Films (II),2014,0,1,1,90,1
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2013 tesla model s,1,tesla model s,tesla model s,47,"$65,641,801",Walt Disney Studios Motion Pictures,2014,0,1,1,47,1
The Judge,2010 toyota 4runner,2,toyota 4runner,toyota 4runner,73,"$47,003,241",Warner Bros.,2014,0,4,4,73,2
Jack Ryan: Shadow Recruit,2007 toyota auris,1,toyota auris,toyota corolla im/auris/scion im,66,"$50,577,412",Paramount Pictures,2014,0,1,1,66,1
Transformers: Age of Extinction,2005 toyota avalon,1,toyota avalon,toyota avalon,5,"$245,439,076",Paramount Pictures,2014,0,1,1,5,1
The Equalizer,2012 toyota camry,2,toyota camry,toyota camry,30,"$100,915,604",Sony Pictures Entertainment (SPE),2014,0,29,29,30,2
Tammy,1986 toyota corolla,3,toyota corolla,toyota corolla/matrix,36,"$84,525,432",Warner Bros.,2014,2,19,21,36,3
Transformers: Age of Extinction,1988 toyota land cruiser,3,toyota land cruiser,toyota land cruiser,5,"$245,439,076",Paramount Pictures,2014,1,6,7,5,3
The Amazing Spider-Man 2,2003 toyota matrix,1,toyota matrix,toyota corolla/matrix,10,"$202,853,933",Sony Pictures Entertainment (SPE),2014,0,1,1,10,1
Horrible Bosses 2,2006 toyota prius ii,3,toyota prius,toyota prius,63,"$51,745,425",Warner Bros.,2014,1,14,15,63,3
Transformers: Age of Extinction,2009 toyota rav4,1,toyota rav4,toyota rav4,5,"$245,439,076",Paramount Pictures,2014,0,6,6,5,1
Chef,2008 toyota sequoia,1,toyota sequoia,toyota sequoia,91,"$31,424,003",Open Road Films (II),2014,0,1,1,91,1
Let's Be Cops,2011 toyota sienna,2,toyota sienna,toyota sienna,40,"$82,390,774",Twentieth Century Fox,2014,0,4,4,40,2
Let's Be Cops,toyota supra mk.iv,2,toyota supra,toyota supra,40,"$82,390,774",Twentieth Century Fox,2014,0,1,1,40,2
Dolphin Tale 2,2001 toyota tacoma,1,toyota tacoma,toyota tacoma,80,"$42,024,533",Warner Bros.,2014,0,2,2,80,1
God's Not Dead,2011 toyota tundra,2,toyota tundra,toyota tundra,52,"$60,755,732",Freestyle Releasing,2014,0,1,1,52,2
RoboCop,2009 toyota venza,2,toyota venza,toyota venza,56,"$58,607,007",Sony Pictures Entertainment (SPE),2014,0,1,1,56,2
3 Days to Kill,2012 volkswagen cc b7 [typ 3c],2,volkswagen cc,volkswagen cc,93,"$30,697,999",Relativity Media,2014,0,2,2,93,2
This Is Where I Leave You,2010 volkswagen golf vi [typ 5k],2,volkswagen golf,volkswagen golf/gti/r/sportwagen alltrack,88,"$34,296,320",Warner Bros.,2014,0,8,8,88,2
Horrible Bosses 2,2011 volkswagen jetta a6 [typ 5k],4,volkswagen jetta,volkswagen jetta,63,"$51,745,425",Warner Bros.,2014,1,11,12,63,4
Captain America: The Winter Soldier,2001 volkswagen passat wagon b5 [typ 3bg],2,volkswagen passat,volkswagen passat,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,7,7,3,2
This Is Where I Leave You,2012 volkswagen tiguan i [typ 5n],1,volkswagen tiguan,volkswagen tiguan,88,"$34,296,320",Warner Bros.,2014,0,1,1,88,1
Captain America: The Winter Soldier,2011 volvo c70,1,volvo c70,volvo c70,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,2,2,3,1
The Amazing Spider-Man 2,2001 volvo s40,2,volvo s40,volvo s40,10,"$202,853,933",Sony Pictures Entertainment (SPE),2014,0,1,1,10,2
Ouija,2011 volvo s60,2,volvo s60,volvo s60/v60,65,"$50,856,010",Universal Pictures,2014,0,6,6,65,2
Lucy,2007 volvo s80,1,volvo s80,volvo s80,23,"$126,663,600",Universal Pictures,2014,0,2,2,23,1
Earth to Echo,2008 volvo v50,1,volvo v50,volvo v50,83,"$38,934,842",Relativity Media,2014,0,1,1,83,1
God's Not Dead,2001 volvo v70 xc,4,volvo v70,volvo v70,52,"$60,755,732",Freestyle Releasing,2014,1,4,5,52,4
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2008 volvo xc70,2,volvo xc70,volvo xc70,47,"$65,641,801",Walt Disney Studios Motion Pictures,2014,0,3,3,47,2
Gone Girl,2013 volvo xc90,4,volvo xc90,volvo xc90,17,"$166,197,583",Twentieth Century Fox,2014,2,1,3,17,4
